Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"DE2,DE1",SOD123,2,RSA5M,
2,D1,SOD123,1,10BQ015,
3,U2,DDR2,1,AS4C32M16D2,
4,"C17,C57,C59,C60,C70,C71,C73,C77,C401,C404,C405,C408,C409,C410,C396,C397,C398,C399,C400,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8,CF9,CF10,CF11,CF12,CF13,CF16,CF17,CF18,CF19,CF20,CF23,CF24,CF25,CF26,CF27",SM0603,42,0.1uF,
5,"C25,C29,C34,C38,C50,C72,C406,C411,CE9,CE10,C43,CF14,CF21,CF28",SM0603,14,1uF,
6,"C27,C35,C39,C74,C76,CE1,CE3",SM1206,7,33uF,
7,"C40,C48",SM1206,2,33uF Ceramic,
8,"C52,C53",SM0603,2,10pF,
9,"C75,CF31,CF33",SM0603,3,100n,
10,"C402,C403",SM0603,2,20pF,
11,"C407,C412",SM1206,2,4.7uF,
12,"CE2,CE4",SM0603,2,100nF,
13,"CE5,CE7",SM0603,2,2.2nF,
14,"D2,D3,D4,D5,D8,D9,DF1",SM0603,7,LED,
15,J1,MICROSD,1,MICROSD,
16,L1,SM0805,1,15uH,
17,"L11,L12,L13",SM0805,3,HZ0805D152R-10 (1500 ohm),
18,"LE1,LE2,LE3,LE4,LE5,LE6,LE7,LE8,LE10",SM0805,9,HZ0805D152R-10 (1500 ohm),
19,"LE9,LE11",SRF2012,2,SRF2012,
,,,,,
21,PWR1,J5,1,JACK-PLUG0,
22,Q1,SOT363_PHILIPS,1,MMDT3904,
23,R1,SM0603,1,1,
24,"R2,R3",SM0603,2,0.1,
25,R4,SM0603,1,1K,
26,"R5,R9,R13,R16,R28,R30,R31,R33,RF5",SM0603,9,1k,
27,R6,SM0603,1,100K,
28,"R7,RE3,RE4",SM0603,3,10k,
29,R10,SM0603,1,47K,
30,"R11,R12,R14",SM0603,3,1.5k,
31,R15,SM0603,1,11k,
32,R20,SM0603,1,0,
33,R23,SM0603,1,10K,
34,"R24,R25",SM0603,2,1K 1%,
35,"R29,R32,R8,RF1",SM0603,4,47k,
36,"RE5,RE6,RF2",SM0603,3,4.7k,
37,U1,iMX283_MAPBGA289,1,i.MX283,
38,U4,SGTL5000,1,SGTL5000,
39,U11,LT1117,1,ZLDO1117G33TA,
40,"UE1,UE5",SOT-523,2,RCLAMP0502B,
41,"USB1,USB2",conn_usb_A-vert,2,USB_2A,
42,X1,ABM8G,1,24MHz,
43,X401,ABM8G,1,12MHz,
44,"C1,C3,C62,C22,C30,C36,C45",SM0402,7,0.01uF,
45,"C2,C64,C69,C66,C16,C19,C20,C21,C26,C28,C33,C13,C15,C18,C11,C55,C54,C56,C58,C6,C7,C8,C9,C10,C12,C14,C47,C49,C23,C51,C83,C84,C85,C86,C87,C88,C89,C90,C91,C24,C31,C32,C37,C41",SM0402,44,0.1uF,
46,"C61,C63,C65,C67",SM0402,4,0.22uF,
47,"C4,C5",SM1206,2,10uF,
48,P1,pin_array_9x2,1,2.5mm,
49,UF1,LQFP-144_20x20mm_Pitch0.5mm,1,XC6SLX9-2TQG144C,
50,US1,LQFP-100_14x14mm_Pitch0.5mm,1,ATSAM3S2CA-AU,
51,"CF15,CF22,CF29",SM1206_Opendous,3,4.7uF,
52,"CF30,CF32,CF34,CF35",SM1206_Opendous,4,33uF,
53,UF2,SOT-223,1,ZLDO1117G12TA,
54,UF3,SOT-223,1,ZLDO1117G33TA,
55,PFIO1,Socket_Strip_Straight_2x18,1,CONN_02X18,
56,PFIO2,Socket_Strip_Straight_2x12,1,CONN_02X13,
57,PSA1,Socket_Strip_Straight_2x14,1,CONN_02X14,
58,PSJ1,Socket_Strip_Straight_2x03,1,CONN_02X03,
59,"RF3,RF4,RF6,RF7",SM0603,4,68,
